Store,ActualSales,MAE,RMSPE
826,687603,1149.9355533854166,0.14601446071589919
110,351314,1149.1893503289473,0.3320739098789037
966,368953,1149.144765625,0.2825190816791443
644,695981,1148.8791536458334,0.14210627486113875
647,458171,1147.9202495374177,0.25039558301285203
302,298219,1147.2851790364584,0.36553312744311744
727,359238,1145.6507747395833,0.2932805496276204
662,642282,1143.2555574115954,0.14522882726489064
27,733824,1143.069751636402,0.13795296712817948
171,638650,1142.858515625,0.14483036482977615
68,610435,1142.7613139905427,0.1737557319513535
218,369439,1142.2046875,0.4721505693948665
1081,581843,1141.4178453382556,0.44773521198739624
577,368113,1136.5761782997533,0.29286539607059814
324,403529,1136.4344835783306,0.5165589930260682
559,457605,1135.0775596217106,0.5538785257124966
31,436021,1134.9278580729167,0.22941854989210403
951,627807,1133.84029296875,0.14555786200341791
620,665552,1131.1555598958332,0.14518139259599736
881,318730,1130.341318359375,0.3887863420079628
254,248074,1130.246201171875,0.4453259664450973
458,598585,1129.9479622395834,0.1664720325914664
123,629111,1129.3797800164473,0.19525129820462958
474,587809,1129.0331324527137,0.18338336922935605
419,415842,1128.5023835834704,0.3142029321740725
76,708735,1127.9287760416667,0.14830853453804985
863,708897,1125.2855425824175,0.338419715545561
25,810290,1123.3761085304054,0.12275673299135759
438,433662,1121.3618035567433,0.2910155664155228
636,498800,1118.52595703125,0.19536603517710338
475,493920,1117.2070833333332,0.20636474509981767
733,1383217,1116.7628562843406,0.08577408212462505
375,713562,1115.7653423108552,0.1775859029866306
839,298507,1114.7500610351562,0.444340472530622
615,714450,1114.7027799479167,0.13492213730451966
639,336921,1112.8793912760416,0.31927084431641906
948,770658,1112.711178957761,0.14783138254998088
593,741798,1112.3523077713817,0.13935579627453104
924,348625,1108.74431640625,0.3333168777330886
158,646484,1107.8725520833334,0.15245926027733323
312,425898,1107.6890690104167,0.2590647578555233
476,460725,1106.8939851459704,0.47065881890855066
40,333493,1104.3552669270832,0.30437653876411086
57,690826,1104.0599172491777,0.21626493205519629
693,507234,1103.3580859375,0.19689900449720457
452,365390,1103.097338224712,0.30972427273119096
811,319371,1102.8737953587581,0.30149735020401547
673,614310,1097.98712890625,0.14818820906559477
4,745776,1097.6812565104167,0.12716813090499635
668,698646,1096.5846782483552,0.14369566472717846
219,241649,1096.4056184895833,0.4306194497668773
59,419611,1095.126220703125,0.43691855776648314
758,374668,1093.9583170572917,0.3061334350253356
357,618659,1093.5450824938323,0.14854126526519484
300,583387,1092.3149153645834,0.16211144775751635
298,664189,1091.9414518229166,0.15110800137082336
152,425159,1091.413046875,0.30235845279145296
940,590634,1091.0136269017269,0.184028388430777
985,650231,1089.818203125,0.14196867079768574
982,642438,1089.3286068564967,0.1555968866773613
1042,313203,1088.8653580729167,0.3181214876359819
523,1047410,1088.8634482935856,0.10140585963219502
483,375872,1087.9845709549754,0.6818979157969401
443,408272,1085.7905980160363,0.264281065831954
198,217474,1083.9095587479442,0.7552582168712838
174,481976,1082.915,0.19817063012771147
1069,485722,1082.4823512027137,0.2856115273804678
873,284707,1080.5516261050575,0.3433323076286942
751,321539,1080.3790787760418,0.3180498541728478
956,243733,1080.3395491536457,0.4210545181425087
1026,728129,1079.3682486979167,0.12681420601695498
1099,715709,1077.1178206559066,0.18518614828530916
282,355070,1076.7781275699012,0.276619215564122
1038,451362,1075.9383072916667,0.22332931664482297
276,289613,1075.7107865182977,0.3848401203171522
370,613567,1074.0254557291667,0.1417705127101103
654,517144,1072.2116442228619,0.40322987348087425
717,409460,1069.3824153645833,0.27415665897733354
470,930593,1068.7215494791667,0.10960433201549058
170,320930,1067.9136881510417,0.31155434509653235
949,415476,1067.8836669921875,0.3241336396300006
849,645794,1067.3023167660363,0.14364181782831723
874,384501,1066.2216732627467,0.24960857797655395
97,539781,1066.0528949938323,0.26930226830321563
678,586286,1065.80796875,0.15426838656670827
880,614148,1064.2963606770834,0.14916213061650047
810,452945,1063.97521484375,0.20842288415419288
993,595509,1063.6990517064144,0.17127327854244087
612,501820,1062.7559505208333,0.2743691552790747
996,555447,1061.0749832956415,0.1792858107500558
39,411466,1059.3771028645833,0.25356751063077954
415,496184,1058.1549200760692,0.7640943587186773
554,416958,1053.2120811060856,0.27707432549226485
896,542246,1052.6915283203125,0.1802878885293428
437,562306,1051.9704525596217,0.1771046331032635
195,836803,1050.9924869791666,0.11533780784112363
1002,518908,1050.8718133223683,0.21030685035437555
190,601387,1050.3673763020834,0.1440686858567167
526,821717,1047.9162019428454,0.1566220106013664
36,740942,1047.8564387141048,0.12682603141106003
580,752804,1047.332185444079,0.13890228270642097
926,577826,1046.5341536458334,0.15485082090292235
461,361251,1046.2955208333333,0.2888848597326766
56,642582,1045.731328125,0.14271816189207487
1032,701175,1043.7957635176808,0.18778938283428484
34,632190,1042.6317447916667,0.1426263420729953
242,314964,1041.9615494791667,0.31856960051114674
466,596944,1041.7252408854167,0.21224501630509512
1068,355857,1041.6958919270833,0.26528847203615613
814,662729,1041.347257915296,0.14919906289908724
424,577500,1040.5378385416666,0.14843061608613123
230,616058,1039.4849725020558,0.14861066319205365
1046,703650,1038.8620155736019,0.1350313453755931
588,489260,1037.6092914782073,0.21632309850212464
115,626538,1036.0753059895833,0.14372076123384744
353,628193,1035.1334402901787,0.17172272437284108
740,592955,1033.1413151041668,0.1543391107664316
524,682678,1032.6324127532623,0.6322525145953286
1110,366465,1032.1698833264802,0.3084573007055006
933,573622,1030.5322394120067,0.2306993941575773
